Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Perubahan%
28/02/2020;14.347,5;14.057,5;14.347,5;14.057,5;2,23%
02/03/2020;14.265,0;14.355,0;14.420,0;14.225,0;-0,58%
03/03/2020;14.281,5;14.196,5;14.286,5;14.196,5;0,12%
04/03/2020;14.115,0;14.255,0;14.255,0;14.095,0;-1,17%
05/03/2020;14.170,0;14.120,0;14.190,0;14.120,0;0,39%
06/03/2020;14.230,0;14.190,0;14.295,0;14.190,0;0,42%
09/03/2020;14.392,5;14.247,5;14.392,5;14.247,5;1,14%
10/03/2020;14.346,0;14.391,0;14.416,0;14.281,0;-0,32%
11/03/2020;14.352,5;14.302,5;14.392,5;14.292,5;0,05%
12/03/2020;14.521,5;14.366,5;14.521,5;14.366,5;1,18%
13/03/2020;14.770,0;14.610,0;14.865,0;14.610,0;1,71%
16/03/2020;14.925,0;14.725,0;15.002,0;14.725,0;1,05%
17/03/2020;15.170,0;14.940,0;15.170,0;14.940,0;1,64%
18/03/2020;15.217,5;15.097,5;15.232,5;15.097,5;0,31%
19/03/2020;15.912,5;15.287,5;15.912,5;15.287,5;4,57%
20/03/2020;15.925,0;15.962,5;16.225,0;15.925,0;0,08%
23/03/2020;16.575,0;15.975,0;16.640,0;15.975,0;4,08%
24/03/2020;16.500,0;16.505,0;16.525,0;16.472,5;-0,45%
26/03/2020;16.305,0;16.205,0;16.360,0;16.205,0;-1,18%
27/03/2020;16.140,0;16.105,0;16.265,0;16.060,0;-1,01%
30/03/2020;16.337,5;16.155,0;16.416,0;16.155,0;1,22%
31/03/2020;16.310,0;16.325,0;16.392,5;16.300,0;-0,17%
01/04/2020;16.450,0;16.325,0;16.480,0;16.325,0;0,86%
02/04/2020;16.475,0;16.505,0;16.570,0;16.475,0;0,15%
03/04/2020;16.425,0;16.445,0;16.505,0;16.425,0;-0,30%
06/04/2020;16.412,5;16.450,0;16.575,0;16.412,5;-0,08%
